time (s),A0 (V),A1 (V),B0 (V),B1 (V),O0 (V),O1 (V),O2 (V),O3 (V),V01 (V),V2 (V),V3 (V)
40.00E-9,0.000,0.000,1.200,1.200,227.6E-9,428.8E-9,-1.037E-6,137.7E-9,1.200,1.200,1.200
40.01E-9,75.00E-3,75.00E-3,1.200,1.200,3.652E-6,3.524E-6,3.115E-6,1.972E-6,1.200,1.200,1.200
40.03E-9,194.2E-3,194.2E-3,1.200,1.200,7.648E-6,7.261E-6,6.568E-6,4.317E-6,1.200,1.200,1.200
40.04E-9,253.8E-3,253.8E-3,1.200,1.200,9.272E-6,8.811E-6,7.653E-6,5.329E-6,1.200,1.200,1.200
40.06E-9,373.0E-3,373.0E-3,1.200,1.200,12.21E-6,11.63E-6,10.06E-6,7.218E-6,1.200,1.200,1.200
40.08E-9,463.3E-3,463.3E-3,1.200,1.200,14.57E-6,13.91E-6,12.02E-6,8.927E-6,1.200,1.200,1.200
40.09E-9,520.2E-3,520.2E-3,1.200,1.200,16.53E-6,15.83E-6,13.83E-6,10.56E-6,1.200,1.200,1.200
40.10E-9,583.1E-3,583.1E-3,1.200,1.200,19.80E-6,19.07E-6,16.91E-6,13.57E-6,1.200,1.200,1.200
40.11E-9,630.7E-3,630.7E-3,1.200,1.200,23.73E-6,22.98E-6,20.78E-6,17.31E-6,1.200,1.200,1.200
40.11E-9,657.3E-3,657.3E-3,1.200,1.200,26.86E-6,26.10E-6,23.85E-6,20.26E-6,1.200,1.200,1.200
40.11E-9,687.5E-3,687.5E-3,1.200,1.200,31.43E-6,30.65E-6,28.32E-6,24.52E-6,1.200,1.200,1.200
40.12E-9,716.5E-3,716.5E-3,1.200,1.200,36.84E-6,36.03E-6,33.58E-6,29.56E-6,1.200,1.200,1.200
40.12E-9,746.8E-3,746.8E-3,1.200,1.200,43.48E-6,42.63E-6,40.05E-6,35.81E-6,1.200,1.200,1.200
40.13E-9,777.6E-3,777.6E-3,1.200,1.200,51.21E-6,50.32E-6,47.58E-6,43.16E-6,1.200,1.200,1.200
40.14E-9,814.6E-3,814.6E-3,1.200,1.200,61.53E-6,60.59E-6,57.68E-6,53.15E-6,1.200,1.200,1.200
40.14E-9,850.2E-3,850.2E-3,1.200,1.200,72.19E-6,71.21E-6,68.17E-6,63.66E-6,1.200,1.200,1.200
40.15E-9,884.7E-3,884.7E-3,1.200,1.200,83.10E-6,82.07E-6,78.95E-6,74.54E-6,1.200,1.200,1.200
40.15E-9,918.1E-3,918.1E-3,1.200,1.200,94.67E-6,93.58E-6,90.35E-6,85.97E-6,1.200,1.200,1.200
40.16E-9,945.6E-3,945.6E-3,1.200,1.200,104.7E-6,103.5E-6,100.2E-6,95.90E-6,1.200,1.200,1.200
40.16E-9,969.6E-3,969.6E-3,1.200,1.200,113.6E-6,112.4E-6,108.9E-6,104.7E-6,1.200,1.200,1.200
40.17E-9,996.6E-3,996.6E-3,1.200,1.200,123.1E-6,121.9E-6,118.2E-6,114.2E-6,1.200,1.200,1.200
40.17E-9,1.022,1.022,1.200,1.200,132.0E-6,130.7E-6,126.7E-6,122.8E-6,1.200,1.200,1.200
40.17E-9,1.037,1.037,1.200,1.200,137.0E-6,135.7E-6,131.5E-6,127.6E-6,1.200,1.200,1.200
40.18E-9,1.053,1.053,1.200,1.200,142.5E-6,141.2E-6,136.8E-6,132.9E-6,1.200,1.200,1.200
40.18E-9,1.066,1.066,1.200,1.200,147.2E-6,145.8E-6,141.4E-6,137.5E-6,1.200,1.200,1.200
40.18E-9,1.082,1.082,1.200,1.200,152.3E-6,151.0E-6,146.4E-6,142.7E-6,1.200,1.200,1.200
40.18E-9,1.097,1.097,1.200,1.200,157.5E-6,156.2E-6,151.6E-6,148.0E-6,1.200,1.200,1.200
40.19E-9,1.111,1.111,1.200,1.200,162.3E-6,161.0E-6,156.4E-6,152.8E-6,1.200,1.200,1.200
40.19E-9,1.125,1.125,1.200,1.200,167.4E-6,166.4E-6,161.7E-6,158.1E-6,1.200,1.200,1.200
40.19E-9,1.139,1.139,1.200,1.200,172.8E-6,172.0E-6,167.2E-6,163.4E-6,1.200,1.200,1.200
40.19E-9,1.152,1.152,1.200,1.200,178.3E-6,177.7E-6,172.8E-6,168.7E-6,1.200,1.200,1.200
40.19E-9,1.166,1.166,1.200,1.200,184.2E-6,183.7E-6,178.6E-6,174.2E-6,1.200,1.200,1.200
40.20E-9,1.180,1.180,1.200,1.200,189.7E-6,189.2E-6,184.1E-6,179.4E-6,1.200,1.200,1.200
40.20E-9,1.190,1.190,1.200,1.200,193.7E-6,193.1E-6,188.0E-6,183.1E-6,1.200,1.200,1.200
40.20E-9,1.200,1.200,1.200,1.200,197.4E-6,196.8E-6,191.8E-6,186.7E-6,1.200,1.200,1.200
40.20E-9,1.200,1.200,1.196,1.200,198.2E-6,197.6E-6,192.6E-6,187.8E-6,1.200,1.200,1.200
40.20E-9,1.200,1.200,1.188,1.200,200.1E-6,199.4E-6,194.6E-6,190.0E-6,1.200,1.200,1.200
40.20E-9,1.200,1.200,1.181,1.200,202.2E-6,201.4E-6,196.7E-6,192.1E-6,1.200,1.200,1.200
40.20E-9,1.200,1.200,1.174,1.200,203.9E-6,203.1E-6,198.5E-6,194.0E-6,1.200,1.200,1.200
40.21E-9,1.200,1.200,1.166,1.200,206.0E-6,204.9E-6,200.5E-6,196.0E-6,1.200,1.200,1.200
40.21E-9,1.200,1.200,1.158,1.200,208.2E-6,206.7E-6,202.7E-6,198.1E-6,1.200,1.200,1.200
40.21E-9,1.200,1.200,1.149,1.200,210.6E-6,208.5E-6,205.0E-6,200.3E-6,1.200,1.200,1.200
40.21E-9,1.200,1.200,1.139,1.200,213.1E-6,210.3E-6,207.4E-6,202.5E-6,1.200,1.200,1.200
40.21E-9,1.200,1.200,1.129,1.200,215.9E-6,212.1E-6,210.0E-6,204.9E-6,1.200,1.200,1.200
40.21E-9,1.200,1.200,1.114,1.200,219.7E-6,214.3E-6,213.6E-6,208.0E-6,1.200,1.200,1.200
40.22E-9,1.200,1.200,1.099,1.200,223.8E-6,216.2E-6,217.9E-6,211.5E-6,1.200,1.200,1.200
40.22E-9,1.200,1.200,1.081,1.200,228.3E-6,219.0E-6,222.9E-6,215.5E-6,1.200,1.200,1.200
40.22E-9,1.200,1.200,1.064,1.200,232.3E-6,229.9E-6,227.6E-6,219.2E-6,1.200,1.200,1.200
40.23E-9,1.200,1.200,1.047,1.200,236.0E-6,261.8E-6,231.8E-6,222.5E-6,1.200,1.200,1.200
40.23E-9,1.200,1.200,1.032,1.200,239.1E-6,316.5E-6,235.2E-6,225.1E-6,1.200,1.200,1.200
40.23E-9,1.200,1.200,1.016,1.200,242.3E-6,402.5E-6,238.2E-6,227.3E-6,1.200,1.200,1.200
40.23E-9,1.200,1.200,1.004,1.200,246.4E-6,496.0E-6,240.3E-6,228.8E-6,1.200,1.200,1.200
40.24E-9,1.200,1.200,986.8E-3,1.200,264.3E-6,623.8E-6,242.5E-6,230.4E-6,1.200,1.200,1.200
40.24E-9,1.200,1.200,972.9E-3,1.200,307.1E-6,554.8E-6,244.8E-6,232.1E-6,1.200,1.200,1.200
40.24E-9,1.200,1.200,961.2E-3,1.200,372.6E-6,157.3E-6,248.0E-6,234.3E-6,1.200,1.200,1.200
40.24E-9,1.200,1.200,951.6E-3,1.200,444.9E-6,-413.8E-6,251.3E-6,236.4E-6,1.200,1.200,1.200
40.24E-9,1.200,1.200,942.0E-3,1.200,533.0E-6,-1.151E-3,254.6E-6,238.5E-6,1.200,1.200,1.200
40.24E-9,1.200,1.200,932.4E-3,1.200,631.5E-6,-1.972E-3,257.9E-6,240.5E-6,1.200,1.200,1.200
40.25E-9,1.200,1.200,922.8E-3,1.200,705.4E-6,-2.832E-3,261.3E-6,242.6E-6,1.200,1.200,1.200
40.25E-9,1.200,1.200,910.7E-3,1.200,569.6E-6,-3.900E-3,266.6E-6,245.7E-6,1.200,1.200,1.200
40.25E-9,1.200,1.200,900.7E-3,1.200,159.1E-6,-4.684E-3,271.4E-6,248.5E-6,1.200,1.200,1.200
40.25E-9,1.200,1.200,892.1E-3,1.200,-392.1E-6,-5.185E-3,275.4E-6,250.8E-6,1.200,1.200,1.200
40.25E-9,1.200,1.200,880.3E-3,1.200,-1.331E-3,-5.325E-3,279.9E-6,253.5E-6,1.200,1.200,1.200
40.25E-9,1.200,1.200,871.0E-3,1.200,-2.152E-3,-4.815E-3,282.7E-6,255.2E-6,1.200,1.200,1.200
40.26E-9,1.200,1.200,860.6E-3,1.200,-3.099E-3,-3.459E-3,285.2E-6,256.8E-6,1.200,1.200,1.200
40.26E-9,1.200,1.200,847.0E-3,1.200,-4.266E-3,-477.8E-6,287.4E-6,258.4E-6,1.200,1.200,1.200
40.26E-9,1.200,1.200,831.4E-3,1.200,-5.187E-3,4.370E-3,288.7E-6,259.5E-6,1.200,1.200,1.200
40.26E-9,1.200,1.200,812.7E-3,1.200,-4.753E-3,11.65E-3,288.4E-6,259.8E-6,1.200,1.200,1.200
40.27E-9,1.200,1.200,794.4E-3,1.200,-1.927E-3,19.81E-3,286.1E-6,259.1E-6,1.200,1.200,1.200
40.27E-9,1.200,1.200,775.7E-3,1.200,3.347E-3,28.73E-3,282.2E-6,257.4E-6,1.200,1.200,1.200
40.27E-9,1.200,1.200,759.7E-3,1.200,9.277E-3,36.59E-3,278.1E-6,255.3E-6,1.200,1.200,1.200
40.28E-9,1.200,1.200,744.3E-3,1.200,15.87E-3,44.34E-3,273.6E-6,252.7E-6,1.200,1.200,1.200
40.28E-9,1.200,1.200,728.1E-3,1.200,23.33E-3,52.50E-3,268.9E-6,249.6E-6,1.200,1.200,1.200
40.28E-9,1.200,1.200,711.0E-3,1.200,31.63E-3,61.22E-3,264.0E-6,246.0E-6,1.200,1.200,1.200
40.28E-9,1.200,1.200,695.0E-3,1.200,39.59E-3,69.38E-3,259.7E-6,242.4E-6,1.200,1.200,1.200
40.29E-9,1.200,1.200,677.5E-3,1.200,48.34E-3,78.30E-3,255.9E-6,238.7E-6,1.200,1.200,1.200
40.29E-9,1.200,1.200,663.0E-3,1.200,55.56E-3,85.65E-3,253.1E-6,235.8E-6,1.200,1.200,1.200
40.29E-9,1.200,1.200,648.1E-3,1.200,63.04E-3,93.26E-3,250.4E-6,232.6E-6,1.200,1.200,1.200
40.29E-9,1.200,1.200,630.1E-3,1.200,72.02E-3,102.4E-3,247.0E-6,228.7E-6,1.200,1.200,1.200
40.30E-9,1.200,1.200,612.7E-3,1.200,80.70E-3,111.2E-3,243.6E-6,224.8E-6,1.200,1.200,1.200
40.30E-9,1.200,1.200,595.2E-3,1.200,89.79E-3,120.1E-3,239.5E-6,220.5E-6,1.200,1.200,1.200
40.30E-9,1.200,1.200,574.0E-3,1.200,102.3E-3,130.8E-3,233.6E-6,214.9E-6,1.200,1.200,1.200
40.31E-9,1.200,1.200,549.1E-3,1.200,120.4E-3,143.4E-3,225.4E-6,207.9E-6,1.200,1.200,1.200
40.31E-9,1.200,1.200,528.2E-3,1.200,138.2E-3,153.9E-3,218.1E-6,201.8E-6,1.200,1.200,1.200
40.32E-9,1.200,1.200,508.9E-3,1.200,156.0E-3,163.6E-3,211.7E-6,196.5E-6,1.200,1.200,1.200
40.32E-9,1.200,1.200,489.7E-3,1.200,174.5E-3,173.2E-3,205.8E-6,191.3E-6,1.200,1.200,1.200
40.32E-9,1.200,1.200,468.2E-3,1.200,195.3E-3,183.9E-3,199.7E-6,185.7E-6,1.200,1.200,1.200
40.33E-9,1.200,1.200,445.1E-3,1.200,218.1E-3,195.5E-3,193.6E-6,180.0E-6,1.200,1.200,1.200
40.33E-9,1.200,1.200,417.5E-3,1.200,245.1E-3,209.2E-3,187.1E-6,173.6E-6,1.200,1.200,1.200
40.34E-9,1.200,1.200,383.6E-3,1.200,278.3E-3,226.0E-3,179.8E-6,166.3E-6,1.200,1.200,1.200
40.34E-9,1.200,1.200,347.5E-3,1.200,313.3E-3,243.8E-3,173.3E-6,159.5E-6,1.200,1.200,1.200
40.35E-9,1.200,1.200,316.2E-3,1.200,343.4E-3,259.2E-3,169.5E-6,155.2E-6,1.200,1.200,1.200
40.35E-9,1.200,1.200,286.8E-3,1.200,371.4E-3,273.6E-3,168.3E-6,153.2E-6,1.200,1.200,1.200
40.36E-9,1.200,1.200,262.8E-3,1.200,394.1E-3,285.3E-3,169.0E-6,153.2E-6,1.200,1.200,1.200
40.36E-9,1.200,1.200,239.7E-3,1.200,415.7E-3,296.5E-3,171.0E-6,154.7E-6,1.200,1.200,1.200
40.36E-9,1.200,1.200,220.1E-3,1.200,434.1E-3,306.1E-3,173.8E-6,157.1E-6,1.200,1.200,1.200
40.37E-9,1.200,1.200,209.0E-3,1.200,444.4E-3,311.4E-3,175.9E-6,158.9E-6,1.200,1.200,1.200
40.37E-9,1.200,1.200,195.5E-3,1.200,456.9E-3,317.9E-3,178.8E-6,161.4E-6,1.200,1.200,1.200
40.37E-9,1.200,1.200,184.9E-3,1.200,466.7E-3,323.1E-3,181.3E-6,163.8E-6,1.200,1.200,1.200
40.37E-9,1.200,1.200,177.3E-3,1.200,473.6E-3,326.7E-3,183.3E-6,165.6E-6,1.200,1.200,1.200
40.37E-9,1.200,1.200,168.0E-3,1.200,482.2E-3,331.2E-3,186.1E-6,168.1E-6,1.200,1.200,1.200
40.37E-9,1.200,1.200,159.7E-3,1.200,489.8E-3,335.2E-3,188.7E-6,170.5E-6,1.200,1.200,1.200
40.37E-9,1.200,1.200,150.5E-3,1.200,498.2E-3,339.6E-3,191.7E-6,173.2E-6,1.200,1.200,1.200
40.38E-9,1.200,1.200,140.3E-3,1.200,507.5E-3,344.5E-3,195.0E-6,176.3E-6,1.200,1.200,1.200
40.38E-9,1.200,1.200,130.2E-3,1.200,516.7E-3,349.3E-3,198.1E-6,179.2E-6,1.200,1.200,1.200
40.38E-9,1.200,1.200,118.5E-3,1.200,527.2E-3,354.9E-3,201.5E-6,182.5E-6,1.200,1.200,1.200
40.38E-9,1.200,1.200,103.4E-3,1.200,540.8E-3,362.1E-3,205.6E-6,186.5E-6,1.200,1.200,1.200
40.39E-9,1.200,1.200,84.54E-3,1.200,557.7E-3,371.1E-3,210.3E-6,191.1E-6,1.200,1.200,1.200
40.39E-9,1.200,1.200,66.32E-3,1.200,573.9E-3,379.7E-3,214.2E-6,194.9E-6,1.200,1.200,1.200
40.39E-9,1.200,1.200,46.22E-3,1.200,591.7E-3,389.3E-3,218.0E-6,198.8E-6,1.200,1.200,1.200
40.40E-9,1.200,1.200,28.75E-3,1.200,607.0E-3,397.5E-3,221.0E-6,201.8E-6,1.200,1.200,1.200
40.40E-9,1.200,1.200,11.98E-3,1.200,621.7E-3,405.4E-3,223.4E-6,204.4E-6,1.200,1.200,1.200
40.40E-9,1.200,1.200,0.000,1.200,632.0E-3,411.0E-3,224.7E-6,206.0E-6,1.200,1.200,1.200
40.40E-9,1.200,1.200,0.000,1.200,639.0E-3,414.8E-3,225.6E-6,207.0E-6,1.200,1.200,1.200
40.40E-9,1.200,1.200,0.000,1.200,641.8E-3,416.4E-3,225.9E-6,207.3E-6,1.200,1.200,1.200
40.40E-9,1.200,1.200,0.000,1.200,647.4E-3,419.4E-3,226.5E-6,208.0E-6,1.200,1.200,1.200
40.40E-9,1.200,1.200,0.000,1.200,650.0E-3,420.8E-3,226.7E-6,208.3E-6,1.200,1.200,1.200
40.40E-9,1.200,1.200,0.000,1.200,655.0E-3,423.6E-3,227.1E-6,208.8E-6,1.200,1.200,1.200
40.41E-9,1.200,1.200,0.000,1.200,665.1E-3,429.1E-3,227.7E-6,209.6E-6,1.200,1.200,1.200
40.41E-9,1.200,1.200,0.000,1.200,674.6E-3,434.3E-3,228.0E-6,210.1E-6,1.200,1.200,1.200
40.41E-9,1.200,1.200,0.000,1.200,682.9E-3,438.9E-3,228.2E-6,210.5E-6,1.200,1.200,1.200
40.41E-9,1.200,1.200,0.000,1.200,690.5E-3,443.1E-3,228.3E-6,210.7E-6,1.200,1.200,1.200
40.41E-9,1.200,1.200,0.000,1.200,694.5E-3,445.3E-3,228.4E-6,210.9E-6,1.200,1.200,1.200
40.41E-9,1.200,1.200,0.000,1.200,700.6E-3,448.7E-3,228.6E-6,211.2E-6,1.200,1.200,1.200
40.41E-9,1.200,1.200,0.000,1.200,705.4E-3,451.4E-3,228.7E-6,211.5E-6,1.200,1.200,1.200
40.42E-9,1.200,1.200,0.000,1.200,711.7E-3,455.0E-3,228.6E-6,211.8E-6,1.200,1.200,1.200
40.42E-9,1.200,1.200,0.000,1.200,717.5E-3,458.2E-3,228.3E-6,212.1E-6,1.200,1.200,1.200
40.42E-9,1.200,1.200,0.000,1.200,723.9E-3,461.8E-3,227.9E-6,212.4E-6,1.200,1.200,1.200
40.42E-9,1.200,1.200,0.000,1.200,731.2E-3,466.0E-3,227.3E-6,212.7E-6,1.200,1.200,1.200
40.42E-9,1.200,1.200,0.000,1.200,740.9E-3,471.5E-3,226.5E-6,213.0E-6,1.200,1.200,1.200
40.42E-9,1.200,1.200,0.000,1.200,753.2E-3,478.5E-3,225.8E-6,213.2E-6,1.200,1.200,1.200
40.43E-9,1.200,1.200,0.000,1.200,766.0E-3,486.0E-3,227.3E-6,213.1E-6,1.200,1.200,1.200
40.43E-9,1.200,1.200,0.000,1.200,779.4E-3,493.8E-3,235.6E-6,212.6E-6,1.200,1.200,1.200
40.43E-9,1.200,1.200,0.000,1.200,792.3E-3,501.5E-3,251.7E-6,211.8E-6,1.200,1.200,1.200
40.44E-9,1.200,1.200,0.000,1.200,803.8E-3,508.4E-3,270.5E-6,211.1E-6,1.200,1.200,1.200
40.44E-9,1.200,1.200,0.000,1.200,814.5E-3,514.9E-3,288.9E-6,210.4E-6,1.200,1.200,1.200
40.44E-9,1.200,1.200,0.000,1.200,824.7E-3,521.1E-3,305.5E-6,209.8E-6,1.200,1.200,1.200
40.44E-9,1.200,1.200,0.000,1.200,835.3E-3,527.8E-3,321.2E-6,209.0E-6,1.200,1.200,1.200
40.44E-9,1.200,1.200,0.000,1.200,847.1E-3,535.2E-3,336.6E-6,208.0E-6,1.200,1.200,1.200
40.45E-9,1.200,1.200,0.000,1.200,858.5E-3,542.5E-3,350.1E-6,206.7E-6,1.200,1.200,1.200
40.45E-9,1.200,1.200,0.000,1.200,870.2E-3,550.1E-3,362.4E-6,205.2E-6,1.200,1.200,1.200
40.45E-9,1.200,1.200,0.000,1.200,883.4E-3,559.0E-3,372.5E-6,203.0E-6,1.200,1.200,1.200
40.46E-9,1.200,1.200,0.000,1.200,898.2E-3,569.0E-3,364.0E-6,200.0E-6,1.200,1.200,1.200
40.46E-9,1.200,1.200,0.000,1.200,912.5E-3,579.0E-3,289.5E-6,196.6E-6,1.200,1.200,1.200
40.47E-9,1.200,1.200,0.000,1.200,926.6E-3,589.3E-3,62.83E-6,193.0E-6,1.200,1.200,1.200
40.47E-9,1.200,1.200,0.000,1.200,941.0E-3,600.0E-3,-422.7E-6,189.4E-6,1.200,1.200,1.200
40.47E-9,1.200,1.200,0.000,1.200,954.7E-3,610.5E-3,-1.172E-3,186.2E-6,1.200,1.200,1.200
40.48E-9,1.200,1.200,0.000,1.200,969.8E-3,622.6E-3,-2.328E-3,182.8E-6,1.200,1.200,1.200
40.48E-9,1.200,1.200,0.000,1.200,987.0E-3,637.1E-3,-3.966E-3,179.1E-6,1.200,1.200,1.200
40.49E-9,1.200,1.200,0.000,1.200,1.005,653.5E-3,-4.947E-3,174.6E-6,1.200,1.200,1.200
40.50E-9,1.200,1.200,0.000,1.200,1.021,668.4E-3,-1.877E-3,169.4E-6,1.200,1.200,1.200
40.50E-9,1.200,1.200,0.000,1.200,1.031,678.7E-3,3.957E-3,165.2E-6,1.200,1.200,1.200
40.50E-9,1.200,1.200,0.000,1.200,1.042,689.9E-3,13.39E-3,160.1E-6,1.200,1.200,1.200
40.51E-9,1.200,1.200,0.000,1.200,1.051,699.3E-3,23.10E-3,155.5E-6,1.200,1.200,1.200
40.51E-9,1.200,1.200,0.000,1.200,1.060,709.5E-3,34.67E-3,150.4E-6,1.200,1.200,1.200
40.52E-9,1.200,1.200,0.000,1.200,1.069,720.5E-3,47.74E-3,145.0E-6,1.200,1.200,1.200
40.52E-9,1.200,1.200,0.000,1.200,1.078,732.3E-3,62.33E-3,139.3E-6,1.200,1.200,1.200
40.53E-9,1.200,1.200,0.000,1.200,1.088,745.7E-3,79.05E-3,132.9E-6,1.200,1.200,1.200
40.53E-9,1.200,1.200,0.000,1.200,1.100,762.6E-3,100.6E-3,125.1E-6,1.200,1.200,1.200
40.54E-9,1.200,1.200,0.000,1.200,1.113,783.7E-3,127.9E-3,115.7E-6,1.200,1.200,1.200
40.56E-9,1.200,1.200,0.000,1.200,1.130,815.0E-3,169.3E-3,102.6E-6,1.200,1.200,1.200
40.58E-9,1.200,1.200,0.000,1.200,1.149,856.9E-3,226.9E-3,86.65E-6,1.200,1.200,1.200
40.60E-9,1.200,1.200,0.000,1.200,1.168,912.4E-3,308.8E-3,67.84E-6,1.200,1.200,1.200
40.64E-9,1.200,1.200,0.000,1.200,1.184,980.3E-3,421.9E-3,48.09E-6,1.200,1.200,1.200
40.69E-9,1.200,1.200,0.000,1.200,1.193,1.048,558.4E-3,31.49E-6,1.200,1.200,1.200
40.75E-9,1.200,1.200,0.000,1.200,1.197,1.103,707.8E-3,19.59E-6,1.200,1.200,1.200
40.80E-9,1.200,1.200,0.000,1.200,1.199,1.134,820.2E-3,13.62E-6,1.200,1.200,1.200
40.84E-9,1.200,1.200,0.000,1.200,1.199,1.155,911.0E-3,10.03E-6,1.200,1.200,1.200
40.89E-9,1.200,1.200,0.000,1.200,1.199,1.170,992.0E-3,7.448E-6,1.200,1.200,1.200
40.95E-9,1.200,1.200,0.000,1.200,1.200,1.182,1.065,5.407E-6,1.200,1.200,1.200
41.03E-9,1.200,1.200,0.000,1.200,1.200,1.192,1.134,3.407E-6,1.200,1.200,1.200
41.13E-9,1.200,1.200,0.000,1.200,1.200,1.196,1.170,2.097E-6,1.200,1.200,1.200
41.21E-9,1.200,1.200,0.000,1.200,1.200,1.198,1.186,1.314E-6,1.200,1.200,1.200
41.31E-9,1.200,1.200,0.000,1.200,1.200,1.199,1.194,828.6E-9,1.200,1.200,1.200
41.41E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.198,526.4E-9,1.200,1.200,1.200
41.55E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.199,354.4E-9,1.200,1.200,1.200
41.74E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,273.2E-9,1.200,1.200,1.200
42.01E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,236.3E-9,1.200,1.200,1.200
42.45E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,210.8E-9,1.200,1.200,1.200
43.10E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,189.0E-9,1.200,1.200,1.200
43.97E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,174.6E-9,1.200,1.200,1.200
45.18E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,163.4E-9,1.200,1.200,1.200
46.84E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,155.8E-9,1.200,1.200,1.200
48.52E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,151.1E-9,1.200,1.200,1.200
50.20E-9,1.200,1.200,0.000,1.200,1.200,1.200,1.200,148.5E-9,1.200,1.200,1.200
50.21E-9,1.125,1.200,0.000,1.200,1.200,1.200,1.200,-1.408E-6,1.200,1.200,1.200
50.23E-9,1.006,1.200,0.000,1.200,1.200,1.200,1.200,-3.806E-6,1.200,1.200,1.200
50.24E-9,946.2E-3,1.200,0.000,1.200,1.200,1.200,1.200,-5.006E-6,1.200,1.200,1.200
50.26E-9,827.0E-3,1.200,0.000,1.200,1.200,1.200,1.200,-7.070E-6,1.200,1.200,1.200
50.28E-9,736.1E-3,1.200,0.000,1.200,1.200,1.200,1.200,-8.170E-6,1.200,1.200,1.200
50.30E-9,604.7E-3,1.200,0.000,1.200,1.200,1.200,1.200,-8.128E-6,1.200,1.200,1.200
50.31E-9,541.8E-3,1.200,0.000,1.200,1.200,1.200,1.200,-7.258E-6,1.200,1.200,1.200
50.32E-9,472.3E-3,1.200,0.000,1.200,1.200,1.200,1.200,-5.688E-6,1.200,1.200,1.200
50.33E-9,418.4E-3,1.200,0.000,1.200,1.200,1.200,1.200,-3.979E-6,1.200,1.200,1.200
50.33E-9,400.7E-3,1.200,0.000,1.200,1.200,1.200,1.200,-3.282E-6,1.200,1.200,1.200
50.34E-9,365.5E-3,1.200,0.000,1.200,1.200,1.200,1.200,-1.300E-6,1.200,1.200,1.200
50.34E-9,336.3E-3,1.200,0.000,1.200,1.200,1.200,1.200,1.543E-6,1.200,1.200,1.200
50.35E-9,311.4E-3,1.200,0.000,1.200,1.200,1.200,1.200,5.269E-6,1.200,1.200,1.200
50.35E-9,287.7E-3,1.200,0.000,1.200,1.200,1.200,1.200,9.788E-6,1.200,1.200,1.200
50.36E-9,266.6E-3,1.200,0.000,1.200,1.200,1.200,1.200,14.11E-6,1.200,1.200,1.200
50.36E-9,248.1E-3,1.200,0.000,1.200,1.200,1.200,1.200,17.86E-6,1.200,1.200,1.200
50.36E-9,231.3E-3,1.200,0.000,1.200,1.200,1.200,1.200,21.19E-6,1.200,1.200,1.200
50.36E-9,218.0E-3,1.200,0.000,1.200,1.200,1.200,1.200,23.77E-6,1.200,1.200,1.200
50.37E-9,208.5E-3,1.200,0.000,1.200,1.200,1.200,1.200,25.50E-6,1.200,1.200,1.200
50.37E-9,198.3E-3,1.200,0.000,1.200,1.200,1.200,1.200,27.27E-6,1.200,1.200,1.200
50.37E-9,189.4E-3,1.200,0.000,1.200,1.200,1.200,1.200,28.78E-6,1.200,1.200,1.200
50.37E-9,177.7E-3,1.200,0.000,1.200,1.200,1.200,1.200,30.71E-6,1.200,1.200,1.200
50.37E-9,168.2E-3,1.200,0.000,1.200,1.200,1.200,1.200,32.26E-6,1.200,1.200,1.200
50.37E-9,160.5E-3,1.200,0.000,1.200,1.200,1.200,1.200,33.53E-6,1.200,1.200,1.200
50.37E-9,151.7E-3,1.200,0.000,1.200,1.200,1.200,1.200,34.98E-6,1.200,1.200,1.200
50.38E-9,141.1E-3,1.200,0.000,1.200,1.200,1.200,1.200,36.71E-6,1.200,1.200,1.200
50.38E-9,130.2E-3,1.200,0.000,1.200,1.200,1.200,1.200,38.47E-6,1.200,1.200,1.200
50.38E-9,119.0E-3,1.200,0.000,1.200,1.200,1.200,1.200,40.28E-6,1.200,1.200,1.200
50.38E-9,105.4E-3,1.200,0.000,1.200,1.200,1.200,1.200,42.53E-6,1.200,1.200,1.200
50.39E-9,87.46E-3,1.200,0.000,1.200,1.200,1.200,1.200,45.59E-6,1.200,1.200,1.200
50.39E-9,69.21E-3,1.200,0.000,1.200,1.200,1.200,1.200,48.91E-6,1.200,1.200,1.200
50.39E-9,50.77E-3,1.200,0.000,1.200,1.200,1.200,1.200,52.42E-6,1.200,1.200,1.200
50.39E-9,34.15E-3,1.200,0.000,1.200,1.200,1.200,1.200,55.60E-6,1.200,1.200,1.200
50.40E-9,18.21E-3,1.200,0.000,1.200,1.200,1.200,1.200,58.64E-6,1.200,1.200,1.200
50.40E-9,0.000,1.200,0.000,1.200,1.200,1.200,1.200,62.06E-6,1.200,1.200,1.200
50.40E-9,0.000,1.200,0.000,1.200,1.200,1.200,1.200,64.25E-6,1.200,1.200,1.200
50.40E-9,0.000,1.200,0.000,1.200,1.200,1.200,1.200,67.34E-6,1.200,1.200,1.200
50.41E-9,0.000,1.200,0.000,1.200,1.200,1.200,1.200,70.58E-6,1.200,1.200,1.200
